Var1	Var2
Leave_R_1.1.1.255-RXN_c	0
Leave_R_1.1.1.271-RXN_c	-14.0722354065647
Leave_R_1.1.1.34-RXN_c	0
Leave_R_1.10.2.2-RXN_m	10.3418314859198
Leave_R_1.14.13.36-RXN_c	188.61438720239
Leave_R_1.18.1.2-RXN_p	188617.706497974
Leave_R_1.2.1.13-RXN_p	-184922.034649861
Leave_R_1.2.1.2-RXN_p	0
Leave_R_1.2.1.9-RXN_c	0
Leave_R_1.5.1.20-RXN_c	225.986195026669
Leave_R_1.5.1.8-RXN_c	0
Leave_R_1.5.1.9-RXN_c	0
Leave_R_1.5.5.1-RXN_m	0
Leave_R_1.6.5.4-RXN_x	0
Leave_R_1.8.4.9-RXN_p	28.0202931557732
Leave_R_1.8.5.1-RXN_c	0
Leave_R_1.8.5.1-RXN_p	0
Leave_R_1.8.5.1-RXN_x	0
Leave_R_10-FORMYL-THF_pc	-53.1595138936536
Leave_R_1TRANSKETO-RXN_p	31250.7832778472
Leave_R_2-AMINOADIPATE-AMINOTRANSFERASE-RXN_c	0
Leave_R_2-DEHYDROPANTOATE-REDUCT-RXN_c	0
Leave_R_2-ISOPROPYLMALATESYN-RXN_p	27.04720694451
Leave_R_2-KETO-ADIPATE-DEHYDROG-RXN_m	0
Leave_R_2.3.1.133-RXN_c	0
Leave_R_2.3.1.180-RXN_p	105.109056135409
Leave_R_2.4.1.123-RXN_c	0
Leave_R_2.4.1.82-RXN_c	0
Leave_R_2.5.1.19-RXN_p	293.857265799857
Leave_R_2.7.1.148-RXN_p	12.6528873328337
Leave_R_2.7.1.90-RXN_c	-14110.2445716228
Leave_R_2.7.7.1-RXN_c	0
Leave_R_2.7.7.13-RXN_c	870.148925460737
Leave_R_2.7.7.60-RXN_p	12.6528873328337
Leave_R_2KETOBUTYRYL-TRANS_mc	0
Leave_R_2KG-2K-ADIPATE_mc	0
Leave_R_2KG_MAL_mc	-999995.717955323
Leave_R_2KG_MAL_pc	2068.05086127815
Leave_R_2KG_SUC_mc	999993.365866027
Leave_R_2OXOBUT-TRANS_pc	0
Leave_R_2OXOGLUTARATEDEH-RXN_m	6.6341339726419
Leave_R_2PGADEHYDRAT-RXN_c	908502.455576702
Leave_R_2PGADEHYDRAT-RXN_p	-907914.741045102
Leave_R_2TRANSKETO-RXN_p	-31544.6405436471
Leave_R_3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN_c	0
Leave_R_3-DEHYDROQUINATE-DEHYDRATASE-RXN_p	293.857265799857
Leave_R_3-DEHYDROQUINATE-SYNTHASE-RXN_p	293.857265799857
Leave_R_3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN_x	0
Leave_R_3-ISOPROPYLMALDEHYDROG-RXN_p	27.04720694451
Leave_R_3-ISOPROPYLMALISOM-RXN_p	27.04720694451
Leave_R_3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN_c	0
Leave_R_3.1.2.14-RXN_p	12.1529001471526
Leave_R_3.1.3.74-RXN_c	0
Leave_R_3.1.3.77-RXN_c	0
Leave_R_3.5.2.17-RXN_x	0
Leave_R_3PGAREARR-RXN_c	91497.5444232979
Leave_R_3PGAREARR-RXN_p	907914.741045102
Leave_R_4-AMINO-BUTYRATE_mc	0
Leave_R_4-COUMARATE--COA-LIGASE-RXN_c	204.385650895152
Leave_R_4.1.1.32-RXN_c	0
Leave_R_4.2.1.58-RXN_p	105.109056135409
Leave_R_4.2.1.59-RXN_p	105.109056135409
Leave_R_4.2.1.61-RXN_p	105.109056135409
Leave_R_4.2.1.93-RXN_c	0
Leave_R_5-METHYL-THF_pc	-225.986195026669
Leave_R_5-METHYLTHIORIBOSE-KINASE-RXN_c	0
Leave_R_5.3.1.23-RXN_c	0
Leave_R_6.2.1.34-RXN_c	0
Leave_R_6PFRUCTPHOS-RXN_c	0
Leave_R_6PFRUCTPHOS-RXN_p	0
Leave_R_6PGLUCONDEHYDROG-RXN_p	0
Leave_R_6PGLUCONOLACT-RXN_c	0
Leave_R_6PGLUCONOLACT-RXN_p	0
Leave_R_ACETALD_mc	0
Leave_R_ACETATE--COA-LIGASE-RXN_p	958.531735621633
Leave_R_ACETOLACTREDUCTOISOM-RXN_p	-142.44639856527
Leave_R_ACETOLACTSYN-RXN_p	142.44639856527
Leave_R_ACETOOHBUTREDUCTOISOM-RXN_p	-16.0067189634493
Leave_R_ACETOOHBUTSYN-RXN_p	16.0067189634493
Leave_R_ACETYL-COA-ACETYLTRANSFER-RXN_c	0
Leave_R_ACETYL-COA-ACETYLTRANSFER-RXN_m	0
Leave_R_ACETYL-COA-ACETYLTRANSFER-RXN_x	0
Leave_R_ACETYL-COA-CARBOXYLTRANSFER-RXN_c	0
Leave_R_ACETYL-COA-CARBOXYLTRANSFER-RXN_p	826.375472541714
Leave_R_ACETYLGLUTKIN-RXN_p	33.9217742358868
Leave_R_ACETYLORNDEACET-RXN_p	0
Leave_R_ACETYLORNTRANSAM-RXN_p	-33.9217742358868
Leave_R_ACET_mc	28.0202931557732
Leave_R_ACET_pc	-958.531735621633
Leave_R_ACONITATEDEHYDR-RXN_c	9.40893874422181
Leave_R_ACONITATEDEHYDR-RXN_m	-9.40893874422181
Leave_R_ACONITATEHYDR-RXN_c	0
Leave_R_ACONITATEHYDR-RXN_m	0
Leave_R_ACSERLY-RXN_c	0
Leave_R_ACSERLY-RXN_m	28.0202931557732
Leave_R_ACSERLY-RXN_p	0
Leave_R_ACTCOA_m	0
Leave_R_ADENOSINE-KINASE-RXN_c	213.429781239339
Leave_R_ADENOSINETRIPHOSPHATASE-RXN_c	74074.0740740741
Leave_R_ADENOSYLHOMOCYSTEINASE-RXN_c	213.429781239339
Leave_R_ADENPRIBOSYLTRAN-RXN_c	0
Leave_R_ADENYL-KIN-RXN_c	0
Leave_R_ADENYL-KIN-RXN_m	5.79803595928004
Leave_R_ADENYL-KIN-RXN_p	2368.17890665575
Leave_R_ADENYLOSUCCINATE-SYNTHASE-RXN_p	42.8176186615125
Leave_R_ADENYLYLSULFATASE-RXN_c	0
Leave_R_ADPREDUCT-RXN_c	-4.28204467704227
Leave_R_AGMATIN-RXN_c	0
Leave_R_AGMATINE-DEIMINASE-RXN_c	0
Leave_R_AICARSYN-RXN_p	10.3418952321477
Leave_R_AICARTRANSFORM-RXN_p	42.8176186615125
Leave_R_AIRCARBOXY-RXN_p	-10.3418952321477
Leave_R_AIRS-RXN_p	10.3418952321477
Leave_R_ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN_x	-1000000
Leave_R_ALANINE--TRNA-LIGASE-RXN_c	68.0210529047214
Leave_R_ALANINE-AMINOTRANSFERASE-RXN_c	2173.46739104583
Leave_R_ALANINE-AMINOTRANSFERASE-RXN_x	1000000
Leave_R_ALDOSE-1-EPIMERASE-RXN_c	28.6647675479037
Leave_R_ALLANTOATE-DEIMINASE-RXN_c	0
Leave_R_ALLANTOINASE-RXN_c	0
Leave_R_ALLYSINE-DEHYDROG-RXN_c	0
Leave_R_AMINOBUTDEHYDROG-RXN_c	0
Leave_R_AMP-DEAMINASE-RXN_c	4.3422274934231
Leave_R_AMPSYN-RXN_p	42.8176186615125
Leave_R_AMP_ATP_xc	0
Leave_R_AMP_pc	-1235.15866361857
Leave_R_ANTHRANSYN-RXN_p	25.1853707851673
Leave_R_APYRASE-RXN_c	0
Leave_R_ARACHIDIC_ACID_xc	0
Leave_R_ARGDECARBOX-RXN_c	0
Leave_R_ARGINASE-RXN_m	0
Leave_R_ARGININE--TRNA-LIGASE-RXN_c	17.3535088843612
Leave_R_ARGSUCCINLYA-RXN_c	33.9217742358868
Leave_R_ARGSUCCINSYN-RXN_c	33.9217742358868
Leave_R_ARG_ORNITHINE_mc	0
Leave_R_ARG_mc	0
Leave_R_ASCORBATE_CPD-330_mc	0
Leave_R_ASCORBATE_biomass	0
Leave_R_ASNSYNA-RXN_c	161.062752836754
Leave_R_ASNSYNB-RXN_c	0
Leave_R_ASPAMINOTRANS-RXN_c	-229.547571729014
Leave_R_ASPAMINOTRANS-RXN_p	158.828691587776
Leave_R_ASPAMINOTRANS-RXN_x	0
Leave_R_ASPARAGHYD-RXN_c	0
Leave_R_ASPARAGINE--TRNA-LIGASE-RXN_c	38.268137199185
Leave_R_ASPARTATE--TRNA-LIGASE-RXN_c	38.2747668071753
Leave_R_ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN_p	-1052.68806956826
Leave_R_ASPARTATEKIN-RXN_p	1052.68806956826
Leave_R_ASPCARBTRANS-RXN_p	10.3418314859198
Leave_R_ATP-CITRATE-PRO-S--LYASE-RXN_c	0
Leave_R_ATPPHOSPHORIBOSYLTRANS-RXN_p	32.4757234293648
Leave_R_ATP_ADP_Pi_pc	83825.6596790058
Leave_R_ATP_ADP_xc	0
Leave_R_ATP_AMP_mc	5.79803595928004
Leave_R_ATP_pc	1245.50055885065
Leave_R_Alpha-Linolenate_pc	29.07108602223
Leave_R_Alpha-Linolenoyl-ACP-hydrolase_p	29.07108602223
Leave_R_Arachidate_ACT_x	0
Leave_R_Arachidoyl-CoA_oxi_x	0
Leave_R_BHBDCLOS-RXN_x	0
Leave_R_BRANCHED-CHAINAMINOTRANSFERILEU-RXN_p	-16.0067189634493
Leave_R_BRANCHED-CHAINAMINOTRANSFERLEU-RXN_p	-27.04720694451
Leave_R_BRANCHED-CHAINAMINOTRANSFERVAL-RXN_c	0
Leave_R_BRANCHED-CHAINAMINOTRANSFERVAL-RXN_p	-115.39919162076
Leave_R_Beta_Oxidation_x	0
Leave_R_CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN_c	188.61438720239
Leave_R_CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN_p	238.790211923188
Leave_R_CARBPSYN-RXN_p	44.2636057218067
Leave_R_CATAL-RXN_x	0
Leave_R_CDPKIN-RXN_c	-2.62447693927653
Leave_R_CDPKIN-RXN_p	12.6528873328337
Leave_R_CDPREDUCT-RXN_c	-2.62447693927653
Leave_R_CELLULOSE-SYNTHASE-GDP-FORMING-RXN_c	703.146422844301
Leave_R_CELLULOSE-SYNTHASE-UDP-FORMING-RXN_c	0
Leave_R_CHORISMATE-SYNTHASE-RXN_p	293.857265799857
Leave_R_CHORISMATEMUT-RXN_p	268.671895014689
Leave_R_CITSYN-RXN_m	5.89483068775839
Leave_R_CMPKI-RXN_c	0
Leave_R_CMPKI-RXN_p	12.6528873328337
Leave_R_CO-A_biomass	0
Leave_R_CO2_mc	44.8313024932158
Leave_R_CO2_pc	-92567.9059333897
Leave_R_CO2_tx	91141.9145207304
Leave_R_CO2_xc	0
Leave_R_CPD-4211_xc	-1000000
Leave_R_CPD-499_xc	0
Leave_R_CYSPH-RXN_p	12.5564137873292
Leave_R_CYSTATHIONINE-BETA-LYASE-RXN_p	12.5564137873292
Leave_R_CYSTEINE--TRNA-LIGASE-RXN_c	15.463879368444
